SubdistID,CustomerName,Alamat,ProductName,InvoiceDate,Quantity,UnitPrice
3000029577,"MGM TOSERBA/ DENSY SIEGAR","DEPAN SD HATIVE KECIL","MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-01,1,74000
3000029577,"MGM TOSERBA/ DENSY SIEGAR",MARDIKA,"MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-02,1,74000
3000029577,"MATAHARI MART",AMBON,"TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-03,1,205400
3000029577,"MATAHARI MART","HUNUT-DURIAN PATAH","TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-04,1,211250
3000029577,"Arham / UDIN ONI","HUNUT-DURIAN PATAH","TARO 65gr POTATO BBQ (FAMILY PACK) @30PCS",2023-04-05,1,211250
3000029577,"Arham / UDIN ONI","HUNUT-DURIAN PATAH","TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-06,1,211250
3000029577,"RESKY MAKMUR JAYA / SAFRUDIN ",KOBI,"TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-07,1,205400
3000029577,"RAMLI   M / CV. PASIPA RAYA","HUNUT-DURIAN PATAH","TARO TEMPE MP CHICKEN ONION 55GR @36",2023-04-08,1,6595
3000029577,"RAMLI   M / CV. PASIPA RAYA",SKIP,"MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-09,1,74000
3000029577,"KIOS HENDRA ( SMPG HOTEL BUTON RAYA )","Jl. WAILOLA, BULA","MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-10,1,74000
3000029577,"KIOS HENDRA ( SMPG HOTEL BUTON RAYA )",LAHA,"MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-11,10,74000
3000029577,"KIOS HENDRA ( SMPG HOTEL BUTON RAYA )",STAIN,"TARO 65gr POTATO BBQ (FAMILY PACK) @30PCS",2023-04-12,1,205400
3000029577,"RADEN FATTAH",NAMLEA,"TARO 65gr POTATO BBQ (FAMILY PACK) @30PCS",2023-04-13,1,211300
3000029577,"RADEN FATTAH",NAMLEA,"TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-14,1,211300
3000029577,TARI,"JL. NN SAAR SOPACUA RT 003/006","MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-15,1,74000
3000029577,TARI,POKA,"TARO 65gr POTATO BBQ (FAMILY PACK) @30PCS",2023-04-16,1,211300
3000029577,"SELVI TANAMAETA",MORELLA,"MIE KREZZ AYAM PANGGANG 16GR @90",2023-04-17,1,74000
3000029577,"Rahmatia Wanci","HUNUT-DURIAN PATAH","TARO 65gr POTATO BBQ (FAMILY PACK) @30PCS",2023-04-18,1,211250
3000029577,"Rahmatia Wanci","HUNUT-DURIAN PATAH","TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-19,1,211250
3000029577,"Rahmatia Wanci","JL SISINGMANGRAJA  (PASSO)","TARO 65gr SEAWEED (FAMILY PACK) @30pcs",2023-04-20,1,211251
